time,open,high,low,close,volumeto,coin
2022-05-05,92.75,95.17,81.42,84.51,316557519.22,solana
2022-05-06,84.51,84.75,79.94,81.65,296523843.33,solana
2022-05-07,81.65,82.27,77.19,78.83,161298459.02,solana
2022-05-08,78.83,79.34,73.71,75.31,216671280.58,solana
2022-05-09,75.31,77.19,61.79,62.11,501279511.52,solana
2022-05-10,62.11,74.03,60.24,66.85,589897344.33,solana
2022-05-11,66.85,68.35,43.12,50.82,869750326.98,solana
2022-05-12,50.82,53.97,35.95,44.58,710184610.97,solana
2022-05-13,44.58,56.27,43.83,48.86,505036183.26,solana
2022-05-14,48.86,53.7,45.87,52.34,277534572.62,solana
2022-05-15,52.34,59.19,49.59,58.74,265265610.87,solana
2022-05-16,58.74,58.75,51.87,53.69,328225140.88,solana
2022-05-17,53.69,58.14,53.03,57.02,255808095.6,solana
2022-05-18,57.02,57.82,49.39,49.83,305692779.57,solana
2022-05-19,49.83,53.99,48.22,52.12,342322514.42,solana
2022-05-20,52.12,53.57,47.76,49.37,306153762.51,solana
2022-05-21,49.37,51.16,48.38,50.25,137660928.03,solana
2022-05-22,50.25,53.12,49.64,52.46,158973497.81,solana
2022-05-23,52.46,54.61,48.58,49.1,270802070.15,solana
2022-05-24,49.1,50.78,47.06,49.63,264190416.96,solana
2022-05-25,49.63,50.48,47.52,47.92,171808990.6,solana
2022-05-26,47.92,48.59,41.69,43.43,340962341.48,solana
2022-05-27,43.43,43.89,39.97,41.1,328503339.24,solana
2022-05-28,41.1,44.99,40.25,44.22,172472580.65,solana
2022-05-29,44.22,45.56,41.8,44.92,193025274.34,solana
2022-05-30,44.92,48.32,44.23,47.18,272765167.85,solana
2022-05-31,47.18,48.17,44.56,45.74,254070372.87,solana
2022-06-01,45.74,46.1,39.59,40.09,297321656.33,solana
2022-06-02,40.09,41.55,38.11,40.82,306834570.09,solana
2022-06-03,40.82,41.51,37.66,38.23,257377662.2,solana
2022-06-04,38.23,39.46,35.72,38.97,190033825.17,solana
2022-06-05,38.97,40.17,37.83,38.49,167132759.59,solana
2022-06-06,38.49,44.65,38.31,42.36,351014169.93,solana
2022-06-07,42.36,42.65,37.36,39.29,321469181.75,solana
2022-06-08,39.29,40.89,38.29,38.79,198208463.94,solana
2022-06-09,38.79,41.9,38.41,39.93,214717194.25,solana
2022-06-10,39.93,40.87,36.81,37.12,218200726.61,solana
2022-06-11,37.12,37.88,33.15,33.86,181417324.29,solana
2022-06-12,33.86,34.4,30.54,30.59,240996234.82,solana
2022-06-13,30.59,31.05,26.02,28.54,476970922.42,solana
2022-06-14,28.54,32.2,25.84,29.51,404924750.29,solana
2022-06-15,29.51,34.8,26.75,34.71,395848370.39,solana
2022-06-16,34.71,35.9,29.53,30.08,341621322.17,solana
2022-06-17,30.08,32.08,29.23,30.67,205869840.16,solana
2022-06-18,30.67,31.97,27.06,31.97,310435090.72,solana
2022-06-19,31.97,35.31,28.69,34.16,291618076.12,solana
2022-06-20,34.16,36.84,31.7,35.22,318838983.85,solana
2022-06-21,35.22,39.11,34.2,36.37,278096854.62,solana
